date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:42	121662/121662	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2012:56:41%20GMT	https://onelianraika.com/	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/index.html	(from )
13:56:42	155/155	---M-Z	200	added ('OK')	text/plain	date:Sat,%2024%20Jan%202026%2012:56:41%20GMT	https://onelianraika.com/robots.txt		(from )
13:56:42	2152/2152	---M-Z	200	added ('OK')	application/json	date:Sat,%2024%20Jan%202026%2012:56:42%20GMT	https://onelianraika.com/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fonelianraika.com%2F	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/index.php/wp-json/oembed/1.0/embedc29c.json	(from https://onelianraika.com/)
13:56:43	9262/9262	---M-Z	200	added ('OK')	application/rss+xml	etag:%226da30e5ac30b121d2774dac6c116dc48-gzip%22	https://onelianraika.com/index.php/feed/	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/index.php/feed/index.html	(from https://onelianraika.com/)
13:56:43	2326/2326	---M-Z	200	added ('OK')	application/rss+xml	etag:%226da30e5ac30b121d2774dac6c116dc48-gzip%22	https://onelianraika.com/index.php/comments/feed/	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/index.php/comments/feed/index.html	(from https://onelianraika.com/)
13:56:43	2305/2305	---M-Z	200	added ('OK')	text/xml	date:Sat,%2024%20Jan%202026%2012:56:42%20GMT	https://onelianraika.com/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fonelianraika.com%2F&format=xml	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/index.php/wp-json/oembed/1.0/embedfb4b	(from https://onelianraika.com/)
13:56:43	16879/16879	---M-Z	200	added ('OK')	text/css	etag:%2241ef-645037462a3bf-gzip%22	https://onelianraika.com/wp-includes/blocks/navigation/style.min.css?ver=6.9	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/wp-includes/blocks/navigation/style.mind4d0.css	(from https://onelianraika.com/)
13:56:43	12613/12613	---M-Z	200	added ('OK')	text/css	etag:%223145-6468c1056ad15-gzip%22	https://onelianraika.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocks.css?ver=wc-9.8.6	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/wp-content/plugins/woocommerce/assets/client/blocks/wc-blocksc90d.css	(from https://onelianraika.com/)
13:56:43	706/706	---M-Z	200	added ('OK')	text/css	etag:%222c2-6468c10453caa-gzip%22	https://onelianraika.com/wp-content/plugins/woocommerce/assets/client/blocks/customer-account.css?ver=wc-9.8.6	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/wp-content/plugins/woocommerce/assets/client/blocks/customer-accountc90d.css	(from https://onelianraika.com/)
13:56:44	20428/20428	---M-Z	200	added ('OK')	text/css	etag:%224fcc-6468c1049a89f-gzip%22	https://onelianraika.com/wp-content/plugins/woocommerce/assets/client/blocks/mini-cart-contents.css?ver=wc-9.8.6	C:/Users/flori/Documents/Onelia-N-Raika/OneliaNRaika/onelianraika.com/wp-content/plugins/woocommerce/assets/client/blocks/mini-cart-contentsc90d.css	(from https://onelianraika.com/)
